Title	URL	Assignees	Status	Priority	Estimate	Size	Task Type	Nature	Sprint	Epic
enable the search functionality on the announcement Screen (same as the Event Screen)		alexandre-mrt	Sprint Backlog	P2	2	S	Frontend		Sprint 8	
Implement the sub-settings screens	https://github.com/uniconnect-epfl/uniconnect/issues/203	Fyuryy	Sprint Backlog	P2	4	S		Sprint Task	Sprint 8	
As a user I want to be able to add and remove friends.	https://github.com/uniconnect-epfl/uniconnect/issues/206		Sprint Backlog	P0		M		User Story	Sprint 9	
As a user I want to only see announcements posted by my friends	https://github.com/uniconnect-epfl/uniconnect/issues/207		Sprint Backlog	P1		M		User Story	Sprint 9	
As a user I want to see relevant events and announcements	https://github.com/uniconnect-epfl/uniconnect/issues/209		Sprint Backlog	P1		S		User Story	Sprint 9	
Fix issues brought up during M2 grading			Sprint Backlog	P1		S		User Story	Sprint 9	
Possibility to browse through events	https://github.com/uniconnect-epfl/uniconnect/issues/212		Sprint Backlog	P2		M		Sprint Task	Sprint 9	
Differentiate events  / announcements by you and not by you	https://github.com/uniconnect-epfl/uniconnect/issues/211		Sprint Backlog	P1	1	S	Frontend		Sprint 9	
Add modal for map pin	https://github.com/uniconnect-epfl/uniconnect/issues/213		Sprint Backlog	P1		M		Sprint Task	Sprint 9	
Pin position should be saved for each event	https://github.com/uniconnect-epfl/uniconnect/issues/215		Sprint Backlog	P1		M		Sprint Task	Sprint 9	
Image on events	https://github.com/uniconnect-epfl/uniconnect/issues/216		Sprint Backlog	P2		M	Frontend	Sprint Task	Sprint 9	
Link the map to Location Input	https://github.com/uniconnect-epfl/uniconnect/issues/214		Sprint Backlog	P1		L		Sprint Task	Sprint 9	
Remove description from contact list	https://github.com/uniconnect-epfl/uniconnect/issues/210		Sprint Backlog	P1		S		Sprint Task	Sprint 9	
Events do not show well on the map screen			Sprint Backlog							
Refine Events	https://github.com/uniconnect-epfl/uniconnect/issues/198	GustaveCharles	Done	P0	4	M	Backend	Sprint Task	Sprint 8	
Make a component for selectable choices	https://github.com/uniconnect-epfl/uniconnect/issues/88	GaelCondeLosada	Done							
feat: linked graph view with navigation	https://github.com/uniconnect-epfl/uniconnect/pull/121	gaspardthrl	Done							
feat: add user events to profile	https://github.com/uniconnect-epfl/uniconnect/pull/196	alexandre-mrt	Done							
Refine navigation flow	https://github.com/uniconnect-epfl/uniconnect/issues/197	gaspardthrl	Done	P1		M		Sprint Task	Sprint 8	Epic 2: User Flow Integration
Set up compatible end to end testing	https://github.com/uniconnect-epfl/uniconnect/issues/200	alexandre-mrt	Done							
